tabla,campo,campo_original,descripcion,tipo_dato,unidad_o_formato,valores_posibles,registros,valores_faltantes,pct_faltantes,codigo_faltante_conocido
siniestros,codigo_siniestro,CÓDIGO SINIESTRO,Identificador unico del siniestro. Llave primaria. Formato A-AAAA-MM-N.,texto,Identificador,9106 valores distintos,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,fecha_siniestro,FECHA SINIESTRO,Fecha de ocurrencia del siniestro.,fecha,Fecha ISO 8601 (YYYY-MM-DD),rango 2021-01-01 a 2025-12-30,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,hora_siniestro,HORA SINIESTRO,Hora de ocurrencia declarada en el parte policial.,texto,Texto HH:MM,651 valores distintos,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,clase_siniestro,CLASE SINIESTRO,Tipo de evento segun tipologia de la PNP.,texto,Categoria,ATROPELLO | ATROPELLO FUGA | CAÍDA DE PASAJERO | CHOQUE | CHOQUE CON OBJETO FIJO | CHOQUE FUGA | DESPISTE | ESPECIAL | FERROVIARIO | INCENDIO | VOLCADURA,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,cantidad_fallecidos,CANTIDAD DE FALLECIDOS,Numero de personas fallecidas en el siniestro.,entero,Conteo de personas,rango 1 a 33,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,cantidad_lesionados,CANTIDAD DE LESIONADOS,Numero de personas lesionadas en el siniestro.,entero,Conteo de personas,rango 0 a 71,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,cantidad_vehiculos_danados,CANTIDAD DE VEHICULOS DAÑADOS,Numero de vehiculos con danos materiales.,decimal,Conteo de vehiculos,rango 0 a 15,9106,2813,30.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,departamento,DEPARTAMENTO,Departamento donde ocurrio el siniestro. Primer nivel de la division politica.,texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,provincia,PROVINCIA,Provincia donde ocurrio el siniestro. Segundo nivel.,texto,Categoria,182 valores distintos,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,distrito,DISTRITO,Distrito donde ocurrio el siniestro. Tercer nivel.,texto,Categoria,1086 valores distintos,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,zona,ZONA,Caracter urbano o rural del lugar del siniestro.,texto,Categoria,RURAL | URBANA,9106,38,0.4,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,tipo_via,TIPO DE VÍA,Tipo de via donde ocurrio el hecho.,texto,Categoria,ALAMEDA | AUTOPISTA | AVENIDA | CALLE | CARRETERA | FERREO | JIRÓN | OTRO | PASAJE | PLAYA | PUENTE | SIN CLASIFICAR | VIA EXPRESA,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,red_vial,RED VIAL,Jerarquia de la red vial a la que pertenece la via.,texto,Categoria,DEPARTAMENTAL | NACIONAL | PROVINCIAL | SIN CLASIFICAR | URBANO,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,cod_carretera,COD CARRETERA,Codigo oficial de la carretera segun el clasificador del MTC.,texto,Codigo,1045 valores distintos,9106,1,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,latitud,COORDENADAS LATITUD,"Latitud del punto del siniestro en grados decimales, WGS84.",decimal,Grados decimales,rango -18.3054 a -3.48289,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,longitud,COORDENADAS LONGITUD,"Longitud del punto del siniestro en grados decimales, WGS84.",decimal,Grados decimales,rango -81.2889 a -68.9531,9106,1,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,condicion_climatica,CONDICIÓN CLIMÁTICA,Condicion del clima al momento del siniestro.,texto,Categoria,DESPEJADO | GRANIZADO | LLUVIOSO | NEVADO | NIEBLA | NUBLADO | SOLEADO | VENTARRÓN,9106,423,4.6,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,zonificacion,ZONIFICACIÓN,Uso de suelo predominante en el entorno del siniestro.,texto,Categoria,COMERCIAL | ESCOLAR | INDUSTRIAL | RESIDENCIAL | RURAL,9106,423,4.6,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
