departamento,anio,causa,siniestros
AMAZONAS,2008,EXCESO DE VELOCIDAD,45
AMAZONAS,2008,EBRIEDAD DEL CONDUTOR,24
AMAZONAS,2008,IMPRUDENCIA DEL CONDUCTOR,70
AMAZONAS,2008,IMPRUDENCIA DEL PEATÓN,8
AMAZONAS,2008,IMPRUDENCIA DEL PASAJERO,0
AMAZONAS,2008,EXCESO DE CARGA,18
AMAZONAS,2008,DESACATO DE SEÑAL DE TRÁNSITO,0
AMAZONAS,2008,FALLA MECÁNICA,32
AMAZONAS,2008,FALLA DE LUCES,5
AMAZONAS,2008,PISTA EN MAL ESTADO,15
AMAZONAS,2008,SEÑALIZACIÓN DEFECTUOSA,38
AMAZONAS,2008,OTROS,16
AMAZONAS,2009,EXCESO DE VELOCIDAD,72
AMAZONAS,2009,EBRIEDAD DEL CONDUTOR,4
AMAZONAS,2009,IMPRUDENCIA DEL CONDUCTOR,13
AMAZONAS,2009,IMPRUDENCIA DEL PEATÓN,1
AMAZONAS,2009,IMPRUDENCIA DEL PASAJERO,0
AMAZONAS,2009,EXCESO DE CARGA,0
AMAZONAS,2009,DESACATO DE SEÑAL DE TRÁNSITO,0
AMAZONAS,2009,FALLA MECÁNICA,1
AMAZONAS,2009,FALLA DE LUCES,0
AMAZONAS,2009,PISTA EN MAL ESTADO,0
AMAZONAS,2009,SEÑALIZACIÓN DEFECTUOSA,0
AMAZONAS,2009,OTROS,4
AMAZONAS,2010,EXCESO DE VELOCIDAD,72
AMAZONAS,2010,EBRIEDAD DEL CONDUTOR,4
AMAZONAS,2010,IMPRUDENCIA DEL CONDUCTOR,13
AMAZONAS,2010,IMPRUDENCIA DEL PEATÓN,1
AMAZONAS,2010,IMPRUDENCIA DEL PASAJERO,0
AMAZONAS,2010,EXCESO DE CARGA,0
AMAZONAS,2010,DESACATO DE SEÑAL DE TRÁNSITO,0
AMAZONAS,2010,FALLA MECÁNICA,1
AMAZONAS,2010,FALLA DE LUCES,0
AMAZONAS,2010,PISTA EN MAL ESTADO,0
AMAZONAS,2010,SEÑALIZACIÓN DEFECTUOSA,0
AMAZONAS,2010,OTROS,4
AMAZONAS,2011,EXCESO DE VELOCIDAD,125
AMAZONAS,2011,EBRIEDAD DEL CONDUTOR,18
AMAZONAS,2011,IMPRUDENCIA DEL CONDUCTOR,74
AMAZONAS,2011,IMPRUDENCIA DEL PEATÓN,4
AMAZONAS,2011,IMPRUDENCIA DEL PASAJERO,1
AMAZONAS,2011,EXCESO DE CARGA,4
AMAZONAS,2011,DESACATO DE SEÑAL DE TRÁNSITO,0
AMAZONAS,2011,FALLA MECÁNICA,10
AMAZONAS,2011,FALLA DE LUCES,0
AMAZONAS,2011,PISTA EN MAL ESTADO,1
AMAZONAS,2011,SEÑALIZACIÓN DEFECTUOSA,1
AMAZONAS,2011,OTROS,1
AMAZONAS,2012,EXCESO DE VELOCIDAD,212
AMAZONAS,2012,EBRIEDAD DEL CONDUTOR,72
AMAZONAS,2012,IMPRUDENCIA DEL CONDUCTOR,102
AMAZONAS,2012,IMPRUDENCIA DEL PEATÓN,23
AMAZONAS,2012,IMPRUDENCIA DEL PASAJERO,1
AMAZONAS,2012,EXCESO DE CARGA,1
AMAZONAS,2012,DESACATO DE SEÑAL DE TRÁNSITO,1
AMAZONAS,2012,FALLA MECÁNICA,24
AMAZONAS,2012,FALLA DE LUCES,0
AMAZONAS,2012,PISTA EN MAL ESTADO,13
AMAZONAS,2012,SEÑALIZACIÓN DEFECTUOSA,1
AMAZONAS,2012,OTROS,37
AMAZONAS,2013,EXCESO DE VELOCIDAD,129
AMAZONAS,2013,EBRIEDAD DEL CONDUTOR,74
AMAZONAS,2013,IMPRUDENCIA DEL CONDUCTOR,162
AMAZONAS,2013,IMPRUDENCIA DEL PEATÓN,55
AMAZONAS,2013,IMPRUDENCIA DEL PASAJERO,4
AMAZONAS,2013,EXCESO DE CARGA,5
AMAZONAS,2013,DESACATO DE SEÑAL DE TRÁNSITO,3
AMAZONAS,2013,FALLA MECÁNICA,33
AMAZONAS,2013,FALLA DE LUCES,9
AMAZONAS,2013,PISTA EN MAL ESTADO,27
AMAZONAS,2013,SEÑALIZACIÓN DEFECTUOSA,5
AMAZONAS,2013,OTROS,36
AMAZONAS,2014,EXCESO DE VELOCIDAD,114
AMAZONAS,2014,EBRIEDAD DEL CONDUTOR,58
AMAZONAS,2014,IMPRUDENCIA DEL CONDUCTOR,123
AMAZONAS,2014,IMPRUDENCIA DEL PEATÓN,40
AMAZONAS,2014,IMPRUDENCIA DEL PASAJERO,6
AMAZONAS,2014,EXCESO DE CARGA,4
AMAZONAS,2014,DESACATO DE SEÑAL DE TRÁNSITO,2
AMAZONAS,2014,FALLA MECÁNICA,28
AMAZONAS,2014,FALLA DE LUCES,1
AMAZONAS,2014,PISTA EN MAL ESTADO,24
AMAZONAS,2014,SEÑALIZACIÓN DEFECTUOSA,3
AMAZONAS,2014,OTROS,60
AMAZONAS,2015,EXCESO DE VELOCIDAD,152
AMAZONAS,2015,EBRIEDAD DEL CONDUTOR,43
AMAZONAS,2015,IMPRUDENCIA DEL CONDUCTOR,60
AMAZONAS,2015,IMPRUDENCIA DEL PEATÓN,9
AMAZONAS,2015,IMPRUDENCIA DEL PASAJERO,19
AMAZONAS,2015,EXCESO DE CARGA,8
AMAZONAS,2015,DESACATO DE SEÑAL DE TRÁNSITO,2
AMAZONAS,2015,FALLA MECÁNICA,21
AMAZONAS,2015,FALLA DE LUCES,2
AMAZONAS,2015,PISTA EN MAL ESTADO,10
AMAZONAS,2015,SEÑALIZACIÓN DEFECTUOSA,2
AMAZONAS,2015,OTROS,29
AMAZONAS,2015,INVACIÓN DE CARRIL,2
AMAZONAS,2015,VEHÍCULO MAL ESTACIONADO,2
AMAZONAS,2015,FACTOR AMBIENTAL,19
AMAZONAS,2015,EBRIEDAD DEL PEATÓN,0
AMAZONAS,2015,NO IDENTIFICA LA CAUSA,1
AMAZONAS,2015,NO HAY CERTEZA DE LA CAUSA,0
AMAZONAS,2016,EXCESO DE VELOCIDAD,184
AMAZONAS,2016,EBRIEDAD DEL CONDUTOR,68
AMAZONAS,2016,IMPRUDENCIA DEL CONDUCTOR,197
AMAZONAS,2016,IMPRUDENCIA DEL PEATÓN,51
AMAZONAS,2016,IMPRUDENCIA DEL PASAJERO,4
AMAZONAS,2016,EXCESO DE CARGA,12
AMAZONAS,2016,DESACATO DE SEÑAL DE TRÁNSITO,8
AMAZONAS,2016,FALLA MECÁNICA,20
AMAZONAS,2016,FALLA DE LUCES,5
AMAZONAS,2016,PISTA EN MAL ESTADO,21
AMAZONAS,2016,SEÑALIZACIÓN DEFECTUOSA,0
AMAZONAS,2016,OTROS,16
AMAZONAS,2016,INVACIÓN DE CARRIL,11
AMAZONAS,2016,VEHÍCULO MAL ESTACIONADO,1
AMAZONAS,2016,FACTOR AMBIENTAL,25
AMAZONAS,2016,EBRIEDAD DEL PEATÓN,1
AMAZONAS,2016,NO IDENTIFICA LA CAUSA,4
AMAZONAS,2016,NO HAY CERTEZA DE LA CAUSA,0
AMAZONAS,2017,EXCESO DE VELOCIDAD,115
AMAZONAS,2017,EBRIEDAD DEL CONDUTOR,72
AMAZONAS,2017,IMPRUDENCIA DEL CONDUCTOR,111
AMAZONAS,2017,IMPRUDENCIA DEL PEATÓN,25
AMAZONAS,2017,IMPRUDENCIA DEL PASAJERO,2
AMAZONAS,2017,EXCESO DE CARGA,2
AMAZONAS,2017,DESACATO DE SEÑAL DE TRÁNSITO,0
AMAZONAS,2017,FALLA MECÁNICA,8
AMAZONAS,2017,FALLA DE LUCES,2
AMAZONAS,2017,PISTA EN MAL ESTADO,24
AMAZONAS,2017,SEÑALIZACIÓN DEFECTUOSA,0
AMAZONAS,2017,OTROS,20
AMAZONAS,2017,INVACIÓN DE CARRIL,10
