departamento,anio,siniestros_totales
AMAZONAS,2008,271
AMAZONAS,2009,220
AMAZONAS,2010,95
AMAZONAS,2011,239
AMAZONAS,2012,487
AMAZONAS,2013,542
AMAZONAS,2014,463
AMAZONAS,2015,381
AMAZONAS,2016,628
AMAZONAS,2017,423
AMAZONAS,2018,362
AMAZONAS,2019,501
AMAZONAS,2020,387
AMAZONAS,2021,473
AMAZONAS,2022,514
AMAZONAS,2023,514
AMAZONAS,2024,513
ANCASH,2008,1616
ANCASH,2009,2263
ANCASH,2010,1946
ANCASH,2011,2267
ANCASH,2012,2298
ANCASH,2013,2476
ANCASH,2014,2477
ANCASH,2015,1697
ANCASH,2016,1531
ANCASH,2017,1973
ANCASH,2018,2061
ANCASH,2019,2329
ANCASH,2020,1279
ANCASH,2021,2096
ANCASH,2022,2453
ANCASH,2023,2557
ANCASH,2024,2218
APURIMAC,2008,428
APURIMAC,2009,183
APURIMAC,2010,129
APURIMAC,2011,185
APURIMAC,2012,616
APURIMAC,2013,525
APURIMAC,2014,643
APURIMAC,2015,531
APURIMAC,2016,363
APURIMAC,2017,473
APURIMAC,2018,818
APURIMAC,2019,808
APURIMAC,2020,637
APURIMAC,2021,924
APURIMAC,2022,860
APURIMAC,2023,720
APURIMAC,2024,703
AREQUIPA,2008,5594
AREQUIPA,2009,5293
AREQUIPA,2010,4809
AREQUIPA,2011,5637
AREQUIPA,2012,5704
AREQUIPA,2013,6438
AREQUIPA,2014,5630
AREQUIPA,2015,5182
AREQUIPA,2016,5410
AREQUIPA,2017,5157
AREQUIPA,2018,5101
AREQUIPA,2019,5142
AREQUIPA,2020,3010
AREQUIPA,2021,4601
AREQUIPA,2022,5017
AREQUIPA,2023,5194
AREQUIPA,2024,5604
AYACUCHO,2008,752
AYACUCHO,2009,613
AYACUCHO,2010,1480
AYACUCHO,2011,1006
AYACUCHO,2012,910
AYACUCHO,2013,1061
AYACUCHO,2014,1101
AYACUCHO,2015,1416
AYACUCHO,2016,970
AYACUCHO,2017,846
AYACUCHO,2018,696
AYACUCHO,2019,701
AYACUCHO,2020,410
AYACUCHO,2021,486
AYACUCHO,2022,454
AYACUCHO,2023,415
AYACUCHO,2024,549
CAJAMARCA,2008,3070
CAJAMARCA,2009,3590
CAJAMARCA,2010,3182
CAJAMARCA,2011,2945
CAJAMARCA,2012,3186
CAJAMARCA,2013,3156
CAJAMARCA,2014,2119
CAJAMARCA,2015,1276
CAJAMARCA,2016,1312
CAJAMARCA,2017,1777
CAJAMARCA,2018,2077
CAJAMARCA,2019,2087
CAJAMARCA,2020,1303
CAJAMARCA,2021,2006
CAJAMARCA,2022,2108
CAJAMARCA,2023,2092
CAJAMARCA,2024,2278
CALLAO,2008,3299
CALLAO,2009,3112
CALLAO,2010,2871
CALLAO,2011,2931
CALLAO,2012,3554
CALLAO,2013,3543
CALLAO,2014,3402
CALLAO,2015,3554
CALLAO,2016,3430
CALLAO,2017,3402
CALLAO,2018,3417
CALLAO,2019,3133
CALLAO,2020,2008
CALLAO,2021,2773
CALLAO,2022,2723
CALLAO,2023,3045
CALLAO,2024,3232
CUSCO,2008,2514
CUSCO,2009,1774
CUSCO,2010,406
CUSCO,2011,549
CUSCO,2012,1957
CUSCO,2013,4009
CUSCO,2014,4100
CUSCO,2015,4604
CUSCO,2016,3366
CUSCO,2017,3235
CUSCO,2018,4010
CUSCO,2019,4050
CUSCO,2020,2318
CUSCO,2021,2996
CUSCO,2022,3365
CUSCO,2023,3234
CUSCO,2024,3575
HUANCAVELICA,2008,47
HUANCAVELICA,2009,56
HUANCAVELICA,2010,71
HUANCAVELICA,2011,50
HUANCAVELICA,2012,174
HUANCAVELICA,2013,86
HUANCAVELICA,2014,201
HUANCAVELICA,2015,249
HUANCAVELICA,2016,295
HUANCAVELICA,2017,220
HUANCAVELICA,2018,257
HUANCAVELICA,2019,294
HUANCAVELICA,2020,170
HUANCAVELICA,2021,242
HUANCAVELICA,2022,200
HUANCAVELICA,2023,220
HUANCAVELICA,2024,201
HUANUCO,2008,462
HUANUCO,2009,673
HUANUCO,2010,508
HUANUCO,2011,801
HUANUCO,2012,1070
HUANUCO,2013,1648
HUANUCO,2014,4283
HUANUCO,2015,2708
HUANUCO,2016,2067
HUANUCO,2017,1724
HUANUCO,2018,809
HUANUCO,2019,1062
HUANUCO,2020,822
HUANUCO,2021,1199
HUANUCO,2022,1260
HUANUCO,2023,1290
