departamento,anio,franja_horaria,siniestros
AMAZONAS,2008,08:00 A 14:00,38
AMAZONAS,2008,14:00 A 20:00,79
AMAZONAS,2008,20:00 A 02:00,69
AMAZONAS,2008,02:00 A 08:00,34
AMAZONAS,2009,08:00 A 14:00,44
AMAZONAS,2009,14:00 A 20:00,87
AMAZONAS,2009,20:00 A 02:00,67
AMAZONAS,2009,02:00 A 08:00,73
AMAZONAS,2010,08:00 A 14:00,10
AMAZONAS,2010,14:00 A 20:00,48
AMAZONAS,2010,20:00 A 02:00,26
AMAZONAS,2010,02:00 A 08:00,11
AMAZONAS,2011,08:00 A 14:00,32
AMAZONAS,2011,14:00 A 20:00,100
AMAZONAS,2011,20:00 A 02:00,87
AMAZONAS,2011,02:00 A 08:00,20
AMAZONAS,2012,08:00 A 14:00,95
AMAZONAS,2012,14:00 A 20:00,170
AMAZONAS,2012,20:00 A 02:00,162
AMAZONAS,2012,02:00 A 08:00,60
AMAZONAS,2013,08:00 A 14:00,142
AMAZONAS,2013,14:00 A 20:00,179
AMAZONAS,2013,20:00 A 02:00,139
AMAZONAS,2013,02:00 A 08:00,82
AMAZONAS,2014,08:00 A 14:00,121
AMAZONAS,2014,14:00 A 20:00,153
AMAZONAS,2014,20:00 A 02:00,119
AMAZONAS,2014,02:00 A 08:00,70
AMAZONAS,2015,00:01 A 02:00,8
AMAZONAS,2015,02:01 A 04:00,14
AMAZONAS,2015,04:01 A 06:00,5
AMAZONAS,2015,06:01 A 08:00,8
AMAZONAS,2015,08:01 A 10:00,74
AMAZONAS,2015,10:01 A 12:00,24
AMAZONAS,2015,12:01 A 14:00,35
AMAZONAS,2015,14:01 A 16:00,74
AMAZONAS,2015,16:01 A 18:00,30
AMAZONAS,2015,18:01 A 20:00,45
AMAZONAS,2015,20:01 A 22:00,45
AMAZONAS,2015,22:01 A 24:00,19
AMAZONAS,2016,00:01 A 02:00,9
AMAZONAS,2016,02:01 A 04:00,9
AMAZONAS,2016,04:01 A 06:00,18
AMAZONAS,2016,06:01 A 08:00,35
AMAZONAS,2016,08:01 A 10:00,72
AMAZONAS,2016,10:01 A 12:00,58
AMAZONAS,2016,12:01 A 14:00,55
AMAZONAS,2016,14:01 A 16:00,125
AMAZONAS,2016,16:01 A 18:00,42
AMAZONAS,2016,18:01 A 20:00,98
AMAZONAS,2016,20:01 A 22:00,80
AMAZONAS,2016,22:01 A 24:00,27
AMAZONAS,2017,00:01 A 02:00,12
