departamento,anio,sexo,grupo_etario,fallecidos
AMAZONAS,2008,MASCULINO,MENOR DE 18 AÑOS,10
AMAZONAS,2008,MASCULINO,MAYOR DE 18 AÑOS,52
AMAZONAS,2008,FEMENINO,MENOR DE 18 AÑOS,12
AMAZONAS,2008,FEMENINO,MAYOR DE 18 AÑOS,16
AMAZONAS,2009,MASCULINO,MENOR DE 18 AÑOS,14
AMAZONAS,2009,MASCULINO,MAYOR DE 18 AÑOS,86
AMAZONAS,2009,FEMENINO,MENOR DE 18 AÑOS,11
AMAZONAS,2009,FEMENINO,MAYOR DE 18 AÑOS,23
AMAZONAS,2010,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2010,MASCULINO,DE 6 A 12 AÑOS,1
AMAZONAS,2010,MASCULINO,DE 13 A 18 AÑOS,14
AMAZONAS,2010,MASCULINO,DE 19 A 25 AÑOS,27
AMAZONAS,2010,MASCULINO,DE 26 A 60 AÑOS,20
AMAZONAS,2010,MASCULINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2010,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2010,FEMENINO,DE 6 A 12 AÑOS,0
AMAZONAS,2010,FEMENINO,DE 13 A 18 AÑOS,0
AMAZONAS,2010,FEMENINO,DE 19 A 25 AÑOS,0
AMAZONAS,2010,FEMENINO,DE 26 A 60 AÑOS,4
AMAZONAS,2010,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2011,MASCULINO,DE 0 A 5 AÑOS,3
AMAZONAS,2011,MASCULINO,DE 6 A 12 AÑOS,8
AMAZONAS,2011,MASCULINO,DE 13 A 18 AÑOS,19
AMAZONAS,2011,MASCULINO,DE 19 A 25 AÑOS,15
AMAZONAS,2011,MASCULINO,DE 26 A 60 AÑOS,26
AMAZONAS,2011,MASCULINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2011,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2011,FEMENINO,DE 6 A 12 AÑOS,0
AMAZONAS,2011,FEMENINO,DE 13 A 18 AÑOS,3
AMAZONAS,2011,FEMENINO,DE 19 A 25 AÑOS,0
AMAZONAS,2011,FEMENINO,DE 26 A 60 AÑOS,0
AMAZONAS,2011,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2012,MASCULINO,DE 0 A 5 AÑOS,2
AMAZONAS,2012,MASCULINO,DE 6 A 12 AÑOS,9
AMAZONAS,2012,MASCULINO,DE 13 A 18 AÑOS,13
AMAZONAS,2012,MASCULINO,DE 19 A 25 AÑOS,41
AMAZONAS,2012,MASCULINO,DE 26 A 60 AÑOS,13
AMAZONAS,2012,MASCULINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2012,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2012,FEMENINO,DE 6 A 12 AÑOS,7
AMAZONAS,2012,FEMENINO,DE 13 A 18 AÑOS,5
AMAZONAS,2012,FEMENINO,DE 19 A 25 AÑOS,4
AMAZONAS,2012,FEMENINO,DE 26 A 60 AÑOS,0
AMAZONAS,2012,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2013,MASCULINO,DE 0 A 5 AÑOS,2
AMAZONAS,2013,MASCULINO,DE 6 A 12 AÑOS,1
AMAZONAS,2013,MASCULINO,DE 13 A 18 AÑOS,2
AMAZONAS,2013,MASCULINO,DE 19 A 25 AÑOS,7
AMAZONAS,2013,MASCULINO,DE 26 A 60 AÑOS,8
AMAZONAS,2013,MASCULINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2013,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2013,FEMENINO,DE 6 A 12 AÑOS,1
AMAZONAS,2013,FEMENINO,DE 13 A 18 AÑOS,1
AMAZONAS,2013,FEMENINO,DE 19 A 25 AÑOS,2
