codigo_siniestro,codigo_vehiculo,codigo_persona,fecha_siniestro,hora_siniestro,departamento,provincia,distrito,latitud,longitud,zona,clase_siniestro,causa_factor_principal,vehiculo,modalidad_transporte,estado_soat,tipo_persona,gravedad,edad,sexo
A-2021-01-23,V-2021-01-23-1,P-2021-01-23-1-1,2021-01-01,04:40,LIMA,HUARAL,HUARAL,-11.4828792384881,-77.25554675971524,RURAL,DESPISTE,EN PROCESO DE INVESTIGACIÓN,CAMIONETA RURAL,PARTICULAR,VIGENTE,CONDUCTOR,FALLECIDO,21.0,MASCULINO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-1,2021-01-01,05:45,LIMA,LIMA,PACHACAMAC,-12.2294,-76.859412,URBANA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,TRIMOTO PASAJERO,SERVICIO ESPECIAL DE PASAJEROS,NO REGISTRA,CONDUCTOR,LESIONADO,28.0,MASCULINO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-2,2021-01-01,05:45,LIMA,LIMA,PACHACAMAC,-12.2294,-76.859412,URBANA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,TRIMOTO PASAJERO,SERVICIO ESPECIAL DE PASAJEROS,NO REGISTRA,PASAJERO,FALLECIDO,25.0,FEMENINO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-3,2021-01-01,05:45,LIMA,LIMA,PACHACAMAC,-12.2294,-76.859412,URBANA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,TRIMOTO PASAJERO,SERVICIO ESPECIAL DE PASAJEROS,NO REGISTRA,PASAJERO,LESIONADO,0.0,MASCULINO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-4,2021-01-01,05:45,LIMA,LIMA,PACHACAMAC,-12.2294,-76.859412,URBANA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,TRIMOTO PASAJERO,SERVICIO ESPECIAL DE PASAJEROS,NO REGISTRA,PASAJERO,LESIONADO,64.0,MASCULINO
A-2021-01-38,V-2021-01-38-1,P-2021-01-38-1-1,2021-01-01,06:00,LA LIBERTAD,VIRU,VIRU,-8.414865,-78.754544,URBANA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,VEHICULO NO IDENTIFICADO,,,CONDUCTOR FUGADO,FALLECIDO,,NO INDICA
A-2021-01-38,V-2021-01-38-1,P-2021-01-38-1-2,2021-01-01,06:00,LA LIBERTAD,VIRU,VIRU,-8.414865,-78.754544,URBANA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,VEHICULO NO IDENTIFICADO,,,PEATÓN,FALLECIDO,38.0,MASCULINO
A-2021-01-39,V-2021-01-39-1,P-2021-01-39-1-1,2021-01-01,07:00,LA LIBERTAD,VIRU,VIRU,-8.432617,-78.772242,RURAL,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,NO REGISTRA,CONDUCTOR FUGADO,NO SE CONOCE,34.0,MASCULINO
A-2021-01-39,V-2021-01-39-1,P-2021-01-39-1-2,2021-01-01,07:00,LA LIBERTAD,VIRU,VIRU,-8.432617,-78.772242,RURAL,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,NO REGISTRA,PASAJERO,FALLECIDO,48.0,MASCULINO
A-2021-01-39,V-2021-01-39-2,P-2021-01-39-2-1,2021-01-01,07:00,LA LIBERTAD,VIRU,VIRU,-8.432617,-78.772242,RURAL,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,NO REGISTRA,CONDUCTOR FUGADO,NO SE CONOCE,,NO INDICA
A-2021-01-254,V-2021-01-254-1,P-2021-01-254-1-1,2021-01-01,14:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,-12.164406,-76.953426,URBANA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VIGENTE,CONDUCTOR,LESIONADO,30.0,MASCULINO
A-2021-01-254,V-2021-01-254-1,P-2021-01-254-1-2,2021-01-01,14:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,-12.164406,-76.953426,URBANA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VIGENTE,PEATÓN,FALLECIDO,16.0,MASCULINO
A-2021-01-22,V-2021-01-22-1,P-2021-01-22-1-1,2021-01-01,17:45,SAN MARTIN,RIOJA,RIOJA,-6.063829,-77.171368,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VENCIDO,CONDUCTOR,FALLECIDO,71.0,MASCULINO
A-2021-01-22,V-2021-01-22-2,P-2021-01-22-2-1,2021-01-01,17:45,SAN MARTIN,RIOJA,RIOJA,-6.063829,-77.171368,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VENCIDO,CONDUCTOR,LESIONADO,23.0,MASCULINO
A-2021-01-67,V-2021-01-67-1,P-2021-01-67-1-1,2021-01-01,21:00,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.680472,-79.903582,RURAL,CHOQUE CON OBJETO FIJO,EN PROCESO DE INVESTIGACIÓN,MOTOCICLETA,PARTICULAR,NO REGISTRA,CONDUCTOR,ILESO,49.0,MASCULINO
A-2021-01-67,V-2021-01-67-1,P-2021-01-67-1-2,2021-01-01,21:00,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.680472,-79.903582,RURAL,CHOQUE CON OBJETO FIJO,EN PROCESO DE INVESTIGACIÓN,MOTOCICLETA,PARTICULAR,NO REGISTRA,PASAJERO,FALLECIDO,31.0,FEMENINO
A-2021-01-21,V-2021-01-21-1,P-2021-01-21-1-1,2021-01-02,08:45,PIURA,PIURA,PIURA,-5.164955595374173,-80.65128116025174,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,CAMIÓN,CARGA,VIGENTE,CONDUCTOR,ILESO,32.0,MASCULINO
A-2021-01-21,V-2021-01-21-2,P-2021-01-21-2-1,2021-01-02,08:45,PIURA,PIURA,PIURA,-5.164955595374173,-80.65128116025174,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VIGENTE,CONDUCTOR,ILESO,53.0,MASCULINO
A-2021-01-21,V-2021-01-21-2,P-2021-01-21-2-3,2021-01-02,08:45,PIURA,PIURA,PIURA,-5.164955595374173,-80.65128116025174,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VIGENTE,PASAJERO,FALLECIDO,51.0,FEMENINO
A-2021-01-26,V-2021-01-26-1,P-2021-01-26-1-1,2021-01-02,09:40,JUNIN,YAULI,MOROCOCHA,-11.5916549,-76.0752901,URBANA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,CAMIONETA RURAL,ESCOLAR,VIGENTE,CONDUCTOR,FALLECIDO,45.0,MASCULINO
A-2021-01-26,V-2021-01-26-2,P-2021-01-26-2-1,2021-01-02,09:40,JUNIN,YAULI,MOROCOCHA,-11.5916549,-76.0752901,URBANA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,CAMIÓN,CARGA,VIGENTE,CONDUCTOR,LESIONADO,37.0,MASCULINO
A-2021-01-226,V-2021-01-226-1,P-2021-01-226-1-1,2021-01-02,13:00,PUNO,AZANGARO,AZANGARO,-14.92116,-70.204043,RURAL,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,CAMIONETA PICK UP,PARTICULAR,VIGENTE,CONDUCTOR,ILESO,24.0,MASCULINO
A-2021-01-226,V-2021-01-226-2,P-2021-01-226-2-1,2021-01-02,13:00,PUNO,AZANGARO,AZANGARO,-14.92116,-70.204043,RURAL,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,BICICLETA,PARTICULAR,VIGENTE,CONDUCTOR,FALLECIDO,57.0,MASCULINO
A-2021-01-36,V-2021-01-36-1,P-2021-01-36-1-1,2021-01-02,21:45,ANCASH,SANTA,CHIMBOTE,-9.103893283331551,-78.5542565472423,URBANA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,STATION WAGON,PUBLICO URBANO,VIGENTE,CONDUCTOR,ILESO,50.0,MASCULINO
A-2021-01-36,V-2021-01-36-1,P-2021-01-36-1-2,2021-01-02,21:45,ANCASH,SANTA,CHIMBOTE,-9.103893283331551,-78.5542565472423,URBANA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,STATION WAGON,PUBLICO URBANO,VIGENTE,PEATÓN,FALLECIDO,75.0,MASCULINO
A-2021-01-44,V-2021-01-44-1,P-2021-01-44-1-1,2021-01-02,22:00,PIURA,SULLANA,MIGUEL CHECA,-4.904804841419826,-80.81424317099258,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VENCIDO,CONDUCTOR,FALLECIDO,20.0,MASCULINO
A-2021-01-44,V-2021-01-44-1,P-2021-01-44-1-2,2021-01-02,22:00,PIURA,SULLANA,MIGUEL CHECA,-4.904804841419826,-80.81424317099258,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,PARTICULAR,VENCIDO,PASAJERO,LESIONADO,20.0,MASCULINO
A-2021-01-44,V-2021-01-44-2,P-2021-01-44-2-1,2021-01-02,22:00,PIURA,SULLANA,MIGUEL CHECA,-4.904804841419826,-80.81424317099258,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,VEHICULO POLICIAL,VENCIDO,CONDUCTOR,LESIONADO,24.0,MASCULINO
A-2021-01-44,V-2021-01-44-2,P-2021-01-44-2-2,2021-01-02,22:00,PIURA,SULLANA,MIGUEL CHECA,-4.904804841419826,-80.81424317099258,URBANA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,MOTOCICLETA,VEHICULO POLICIAL,VENCIDO,PASAJERO,LESIONADO,31.0,MASCULINO
A-2021-01-258,V-2021-01-258-1,P-2021-01-258-1-1,2021-01-03,00:35,LIMA,LIMA,VILLA EL SALVADOR,-12.225604,-76.971698,URBANA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,VEHICULO NO IDENTIFICADO,OTRO,NO APLICA,CONDUCTOR FUGADO,NO SE CONOCE,,MASCULINO
